class,triple_count,obj_props_count,data_props_count
AcademicJournal,115384,15376,65940
Actor,106543,16047,41733
AdministrativeRegion,328524,28870,144024
AdultActor,37715,3693,16058
Agent,13231,0,7609
Aircraft,104151,25525,39914
Airline,67300,17399,22805
Airport,353800,30684,200933
Album,2333964,799807,670539
AmateurBoxer,9826,895,4047
Ambassador,13251,3333,5218
AmericanFootballCoach,6817,591,2607
AmericanFootballLeague,1312,146,478
AmericanFootballPlayer,420303,75359,178036
AmericanFootballTeam,677,225,164
Amphibian,101114,37162,34487
AmusementParkAttraction,5663,647,2016
AnatomicalStructure,15699,735,11404
Animal,75190,30397,23133
AnimangaCharacter,4783,954,1045
Anime,48187,12058,15189
Arachnid,63078,26443,16800
Archaea,2779,1279,822
Architect,50145,8504,18951
ArchitecturalStructure,3276,364,1092
Artery,5091,962,3025
ArtificialSatellite,12821,0,7094
Artist,262853,53646,99177
ArtistDiscography,31195,3243,10482
Artwork,36075,5989,15074
Asteroid,102516,0,51258
Astronaut,17847,5085,6392
Athlete,501992,39574,210818
AustralianFootballLeague,60,8,20
AustralianFootballTeam,5512,68,2033
AustralianRulesFootballPlayer,134613,3656,55750
Automobile,194647,77296,83411
AutomobileEngine,202172,1312,132139
AutoRacingLeague,99,12,31
Award,23697,1299,14796
Bacteria,6853,2848,2391
BadmintonPlayer,12409,857,5007
Band,746190,287253,214361
Baronet,10716,50,3682
BaseballLeague,3136,340,1108
BaseballPlayer,639891,137068,275277
BaseballSeason,2051,0,879
BaseballTeam,5426,71,1368
BasketballLeague,6475,788,2431
BasketballPlayer,271324,79403,102249
BasketballTeam,22957,5047,6984
BeachVolleyballPlayer,3143,386,1221
BeautyQueen,50077,4596,24751
Beverage,7866,2011,3437
BiologicalDatabase,3987,0,1989
Bird,226296,86964,75632
Bodybuilder,4990,545,2058
BodyOfWater,9613,815,4086
Bone,4395,1,3149
Book,571048,160381,198161
BowlingLeague,14,1,5
Boxer,79070,8809,33411
Brain,6429,179,4600
Brewery,5278,780,1586
Bridge,79942,14106,35555
BritishRoyalty,219059,45241,84839
BroadcastNetwork,21903,5308,6747
Building,832637,97655,419888
BusCompany,16976,0,6352
BusinessPerson,16894,1777,5577
CanadianFootballLeague,112,12,44
CanadianFootballTeam,480,132,123
Canal,4967,727,1370
Canoeist,9096,108,3235
Cardinal,21693,1775,9721
CareerStation,5484890,623017,3575549
Castle,16671,2698,4997
Cave,5071,689,1969
Chancellor,2844,664,1234
Cheese,1989,46,977
Chef,9314,809,3885
ChemicalCompound,76426,3,38715
ChessPlayer,29491,3177,12894
ChristianBishop,127085,11328,51759
City,623225,95543,341910
ClassicalMusicArtist,7383,530,2537
ClassicalMusicComposition,4792,0,1797
Cleric,39440,2348,15682
ClubMoss,1483,546,457
College,1800,255,665
CollegeCoach,155697,27861,60010
Colour,17459,838,14583
Comedian,29316,5683,10895
ComedyGroup,818,175,251
